date,LOC_cabinet,LOC_drawer,LOC_tray,LOC_locality,LOC_unit,LOC_subunit,LOC_age,minutesPerIDRehouse,minutesPerCount,minutesPerPaint,minutesPerCatalog,minutesPerLabels,minutesPerNumber,minutesPerTotal,lotsProcessed,lotsRehoused,lotsIdentified,lotsReidentified
2018-08-08,183,11,1 of 2,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.8,NA,0.6,0.7,0.2,0.5,3.8,25,50,0,0
2018-08-08,183,11,2 of 2,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.7,NA,1.7,1.1,0.3,0.8,5.6,18,36,0,0
2018-08-08,183,12,1 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1,NA,1,0.8,0.3,0.5,3.6,31,53,0,0
2018-08-08,183,12,2 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.5,NA,0.5,1,0.6,0.5,4.1,20,39,0,0
2018-08-08,183,12,3 of 3,,Redding,LouElla Spms,"Turonian, Coniacian, Santonian",1.7,NA,0.6,1.1,0.3,0.6,4.3,18,17,0,0
2018-02-21,199,05,1 of 3,"5327, 4966, 4993",Ladd,,Turonian,2.6,NA,0.2,1,0.4,0.2,4.4,12,3,0,0
2018-02-21,199,05,2 of 3,4603,Ladd,,Turonian,2.5,NA,0.1,1.5,0.8,0.1,5,8,1,2,0
2017-09-13,199,06,1 of 3,24208,Ladd,Baker Canyon,Turonian,2.5,0.4,0.2,1,NA,0.4,4.5,24,20,0,5
2017-09-08,199,06,1 of 3,24235,Ladd,Baker Canyon,Turonian,3.9,0.4,0.4,0.9,NA,0.5,6.1,42,28,7,8
2017-09-13,199,06,2 of 3,24208,Ladd,Baker Canyon,Turonian,2.5,0.6,0.6,1.2,NA,0.6,5.5,24,20,0,5
2017-09-14,199,06,3 of 3,24208,Ladd,Baker Canyon,Turonian,4.3,2.1,1.1,1.1,NA,1.1,9.7,14,10,1,2
2017-09-14,199,06,3 of 3,24208,Ladd,Baker Canyon,Turonian,4.3,1.6,0.4,1.7,NA,0.7,8.7,14,10,1,2
2018-02-23,199,07,1 of 3,16857,Ladd,,Turonian,1.2,NA,0.1,1.2,0.6,0.3,3.4,26,13,5,1
2018-02-23,199,07,2 of 3,16857,Ladd,,Turonian,1.1,NA,0.1,0.8,0.4,0.2,2.6,27,7,8,2
2018-02-24,199,08,1 of 1,"24063, 24064, 24065, 24066, 24067, 24068, 16502",Ladd,,"Turonian, Campanian",1.4,NA,0.2,1.5,0.6,0.3,4,32,18,0,0
2018-02-24,199,09,1 of 3,"22951, 22953",Ladd,,Turonian,1.2,NA,0.1,0.8,0.6,0.6,3.3,26,14,3,0
2018-02-24,199,09,2 of 3,22950,Ladd,,Turonian,1.7,NA,0.1,1.3,0.4,0.2,3.7,28,24,0,1
2018-02-24,199,09,3 of 3,22950,Ladd,,Turonian,1.4,NA,0,1.6,0.6,0,3.6,21,6,8,0
2018-02-27,199,10,1 of 3,"1499, 2321, 2322, 2872, 1303",Ladd,,Turonian,1.1,NA,0.1,1.1,0.7,0.2,3.2,30,17,2,1
2018-02-27,199,10,2 of 3,22328,Ladd,,Turonian,1.3,NA,0.1,0.7,0.7,0.1,2.9,22,10,6,0
2018-02-27,199,10,3 of 3,22325,Ladd,,Turonian,0.9,NA,0.1,0.9,0.4,0.2,2.5,32,13,10,0
2018-03-03,199,11,1 of 3,29180,Ladd,,Turonian,1.3,NA,0.1,0.8,0.1,0.1,2.4,8,1,1,0
2018-03-03,199,11,2 of 3,29180,Ladd,,Turonian,1.2,NA,0,NA,0.4,0,1.6,38,7,14,0
2018-03-03,199,11,3 of 3,29181,Ladd,,Turonian,1.3,NA,0,0.7,0.3,0.1,2.4,45,8,43,0
2018-03-06,199,12,2 of 3,15779,Ladd,,Turonian,1.1,NA,NA,0.7,0.7,NA,2.5,14,1,14,0
2018-03-06,199,12,3 of 3,15779,Ladd,,Turonian,1.2,NA,0,0.5,0.4,0,2.1,46,3,40,0
2018-03-07,200,02,1 of 3,24316,Ladd,,"Turonian, Coniacian",0.7,NA,0.2,NA,0.4,0.2,1.5,27,19,0,2
2018-03-07,200,02,2 of 3,4588,Ladd,,"Turonian, Coniacian",1.2,NA,0.1,NA,0.3,0.1,1.7,17,4,2,1
2018-03-07,200,02,3 of 3,4588,Ladd,,"Turonian, Coniacian",1.3,NA,0.2,0.8,1.9,0.1,4.3,8,4,0,0
2018-03-08,200,03,1 of 3,"8176, 8177",Ladd,,"Turonian, Campanian",1.4,NA,0.3,0.7,0.5,0.4,3.3,21,15,0,1
2018-03-08,200,03,2 of 3,8179,Ladd,,"Turonian, Campanian",1.2,NA,0.1,1,0.4,0.1,2.8,24,8,3,2
2018-03-08,200,03,3 of 3,"8178, 30123",Ladd,,"Turonian, Campanian",0.9,NA,0.3,0.6,0.4,0.3,2.5,34,23,0,6
2018-03-09,200,04,1 of 3,8169,Ladd,,Turonian,1.3,NA,0.1,0.9,0.8,0.2,3.3000000000000003,36,17,8,1
2018-03-09,200,04,2 of 3,26981,Ladd,,Turonian,1,NA,0.2,0.9,0.4,0.2,2.7,12,7,1,0
2018-03-09,200,04,3 of 3,8168,Ladd,,Turonian,0.8,NA,0.1,0.8,0.6,0.4,2.7,24,14,0,0
2018-03-10,200,05,1 of 3,1250,Ladd,,Turonian,1,NA,0.1,0.6,0.5,0.2,2.4,32,5,9,2
2018-03-10,200,05,2 of 3,,Ladd,,Turonian,1.5,NA,0,0.7,0.4,0.1,2.7,39,10,15,1
2018-03-10,200,05,3 of 3,"4950, 1250",Ladd,,Turonian,1.2,NA,0.1,0.8,0.6,0.1,2.8,25,5,9,2
2017-09-01,200,06,1 of 4,15737,Ladd,Baker Canyon,Turonian,4.2,0.4,0.8,1,0.5,0.2,7.1000000000000005,25,29,2,9
2017-09-01,200,06,2 of 4,15737,Ladd,Baker Canyon,Turonian,4.2,0.6,0.6,1.2,0.7,0.6,7.9,25,29,2,9
2017-09-01,200,06,3 of 4,15738,Ladd,Baker Canyon,Turonian,3.4,1.4,0.7,1.4,0.8,0.7,8.4,22,25,0,4
2017-09-01,200,06,4 of 4,15738,Ladd,Baker Canyon,Turonian,3.4,1.1,0.2,1.4,0.6,0.2,6.9,22,25,0,4
2018-03-13,200,07,1 of 3,"17091, 17092",Ladd,,"Turonian, Coniacian, Campanian",1.4,NA,NA,0.5,0.4,NA,2.3,11,0,11,0
2018-03-13,200,07,2 of 3,15683,Ladd,,"Turonian, Coniacian, Campanian",1.1,NA,NA,1.1,0.4,NA,2.6,18,1,0,4
2018-03-13,200,07,3 of 3,15894,Ladd,,"Turonian, Coniacian, Campanian",1.1,NA,NA,0.5,0.5,NA,2.1,19,0,17,0
2018-03-21,200,08,1 of 3,8198,Ladd,,Turonian,1.5,NA,0.1,1.2,0.7,0.1,3.6,13,10,2,0
2018-03-21,200,08,2 of 3,8198,Ladd,,Turonian,1.1,NA,0.1,0.8,0.6,0.5,3.1,33,19,4,1
2018-03-21,200,08,3 of 3,"8199, 8200",Ladd,,Turonian,1.1,NA,0.2,0.5,0.5,0.2,2.5,22,10,1,1
2018-03-22,200,09,1 of 3,"8187, 8190, 8193",Ladd,,Turonian,1.1,NA,0.2,0.5,NA,0,1.8,21,12,0,1
2018-03-22,200,09,2 of 3,8180,Ladd,,Turonian,1,NA,0.2,0.6,0.5,0.6,2.9,24,15,3,3
2018-03-22,200,09,3 of 3,8194,Ladd,,Turonian,1.5,NA,0.2,0.6,0.7,0.1,3.1,20,6,2,1
2018-03-22,200,10,1 of 2,8195,Ladd,,Turonian,0.9,NA,0.2,0.5,0.5,0.2,2.3,21,15,0,0
2018-03-22,200,10,2 of 2,8195,Ladd,,Turonian,1.8,NA,NA,0.8,0.8,NA,3.4000000000000004,5,2,1,0
2018-03-22,200,11,1 of 2,8197,Ladd,,Turonian,1.1,NA,0.2,1,0.4,0.1,2.8000000000000003,22,9,1,1
2018-03-22,200,11,2 of 2,8197,Ladd,,Turonian,2,NA,0.5,1,0.5,0.1,4.1,10,3,3,0
2018-03-27,200,12,1 of 2,10079,Ladd,,Turonian,1,0.2,1,1,0.4,0.2,3.8,5,0,0,0
2018-03-27,200,12,2 of 2,10079,Ladd,,Turonian,1.5,NA,0.1,1.2,0.4,0.1,3.3,30,20,4,2
2018-03-27,201,01,1 of 3,16860,Ladd,,Turonian,1.4,NA,0,0.9,0.4,0,2.7,25,4,7,0
2018-03-27,201,01,2 of 3,16860,Ladd,,Turonian,0.8,NA,0.1,1,0.4,0.1,2.4,24,6,7,5
2018-03-27,201,01,3 of 3,16860,Ladd,,Turonian,1.5,NA,NA,1.9,0.8,NA,4.2,16,0,15,0
2018-03-29,201,02,1 of 3,"10109, 31450",Ladd,,Turonian,1.5,NA,0.1,1.5,0.5,0.2,3.8,20,10,1,1
2018-03-29,201,02,2 of 3,"11791,10111, 10112",Ladd,,Turonian,1,NA,0.1,0.9,0.4,0.1,2.5,37,18,0,3
2018-03-29,201,02,3 of 3,10108,Ladd,,Turonian,0.9,NA,0.1,0.5,0.5,0.1,2.1,33,7,20,1
2018-03-30,201,03,1 of 3,10889,Ladd,,Turonian,1.1,NA,0.1,0.6,0.7,0.1,2.6,18,12,1,1
2018-03-30,201,03,2 of 3,"10886, 10884",Ladd,,Turonian,0.8,NA,0.1,0.6,0.7,0.2,2.4,18,10,1,1
2018-03-30,201,03,3 of 3,10863,Ladd,,Turonian,1.1,NA,0.1,2.1,0.5,0.1,3.9000000000000004,9,1,0,0
2018-03-30,201,05,1 of 2,10888,Ladd,,Turonian,1,NA,0.1,0.8,0.5,0.1,2.5,20,10,2,2
2018-03-30,201,05,2 of 2,10887,Ladd,,Turonian,1,NA,0.2,0.4,0.4,0.2,2.2,5,1,0,0
2018-03-30,201,06,1 of 3,10885,Ladd,,Turonian,0.9,NA,0.1,0.4,0.4,0.2,2,11,2,1,0
2018-03-30,201,06,2 of 3,10884,Ladd,,Turonian,0.9,NA,0.1,0.6,0.4,0.2,2.2,21,12,1,1
2018-03-30,201,06,3 of 3,10885,Ladd,,Turonian,1,NA,NA,1,0.1,NA,2.1,36,0,36,0
2018-04-03,201,07,1 of 3,"10957, 10959",Ladd,,Turonian,1.3,NA,0.3,0.8,0.2,0.1,2.7,25,12,2,6
2018-04-03,201,07,2 of 3,"10954, 10952, 10960",Ladd,,Turonian,1.1,NA,0.3,0.7,0.5,0.3,2.9,34,20,3,7
2018-04-05,201,07,3 of 3,"10946, 10955",Ladd,,Turonian,1.4,NA,0.2,0.6,0.4,0.2,2.8,26,14,2,5
2018-04-05,201,08,1 of 2,"21529, 21532, 15295",Ladd,,Turonian,1.4,NA,0.2,0.5,0.5,0.1,2.6999999999999997,22,13,1,1
2018-04-04,201,08,2 of 2,"17541, 17580",Ladd,,Turonian,1,NA,0,0.4,0.4,0.1,1.9000000000000001,34,4,33,0
2017-09-06,201,09,1 of 4,22323,Ladd,Baker Canyon,Turonian,2,1.5,0.5,1.5,0.6,0.5,6.6,30,22,3,0
2017-09-07,201,09,2 of 4,22323,Ladd,Baker Canyon,Turonian,4.2,1.7,0.8,0.8,1,0.8,9.3,18,16,0,1
2017-09-07,201,09,3 of 4,22323,Ladd,Baker Canyon,Turonian,4.3,0.7,0.7,1.4,0.9,0.7,8.7,21,20,4,9
2017-09-08,201,09,4 of 4,22323,Ladd,Baker Canyon,Turonian,3,0.9,0.8,8.4,NA,1.7,14.8,5,20,4,9
2018-04-05,201,10,1 of 3,"28712, 10106",Ladd,,Turonian,1.2,NA,NA,2.4,0.5,NA,4.1,2,0,0,1
2018-04-05,201,10,2 of 3,"16644, 16645",Ladd,,Turonian,1.2,NA,0.2,0.7,0.4,0.1,2.6,26,15,1,8
2018-04-06,201,11,1 of 3,10893,Ladd,,Turonian,0.9,NA,0.2,0.8,0.5,0.4,2.8000000000000003,39,23,9,3
2018-04-07,201,11,2 of 3,10873,Ladd,,Turonian,1.4,NA,1,0.4,0.4,0.2,3.4,25,20,0,4
2018-04-07,201,11,3 of 3,10100,Ladd,,Turonian,0.7,NA,0.3,0.6,0.4,0.1,2.1,49,28,14,10
2018-04-11,201,12,1 of 3,10099,Ladd,,Turonian,1.2,NA,0.5,1.2,0.4,0.2,3.5,12,8,1,2
2018-04-11,201,12,2 of 3,26980,Ladd,,Turonian,1.8,NA,0.1,0.6,0.2,0.2,2.9,20,9,2,7
2018-04-11,201,12,3 of 3,10098,Ladd,,Turonian,0.9,NA,0.1,1.1,0.3,0.1,2.5,21,6,2,1
2018-02-02,202,01,1 of 4,"10950, 10951, 10949",Ladd,Baker Canyon,Turonian,4.4,NA,NA,1.1,0.6,0.2,6.300000000000001,27,12,3,2
2018-02-02,202,01,2 of 4,"10948, 10949",Ladd,,Turonian,2.9,NA,0.1,1.4,0.3,0.3,5,21,15,0,3
2018-02-02,202,01,3 of 4,10953,Ladd,,Turonian,3.3,NA,0.2,1.2,1.1,0.2,6,9,4,0,1
2018-02-03,202,02,1 of 2,"10897, 10895, 10898",Ladd,,Turonian,3.2,NA,0.1,1.2,0.3,0.5,5.3,19,9,1,2
2018-02-03,202,02,2 of 2,10896,Ladd,,Turonian,5,NA,NA,0.8,0.6,NA,6.4,3,1,0,1
2018-02-03,202,03,1 of 2,10883,Ladd,,Turonian,3.4,NA,0,0.9,1.3,0.6,6.2,35,15,9,0
2018-02-03,202,03,2 of 2,10891,Ladd,,Turonian,3,NA,0.1,1,0.5,0.8,5.4,20,16,0,1
2018-02-07,202,04,1 of 2,10890,Ladd,,Turonian,1.6,NA,0.3,0.9,0.5,0.3,3.6,40,17,8,2
2018-02-07,202,04,2 of 2,10882,Ladd,,Turonian,2.1,NA,0.2,0.9,1.1,0.5,4.8,42,38,2,2
2018-02-08,202,05,1 of 2,42358,Ladd,,Turonian,15,NA,NA,2.4,0.9,NA,18.3,2,1,0,1
2018-02-08,202,05,2 of 2,"28715, 28716",Ladd,,Turonian,1.7,NA,0.4,0.8,0.4,0.1,3.4,29,14,3,0
2018-02-21,202,05,3 of 3,"6026, 5795, 8170",Ladd,,Turonian,1.2,NA,0.2,1.1,0.5,0.2,3.2,31,16,0,1
2018-02-08,202,06,1 of 2,16859,Ladd,,Turonian,2.5,NA,0.1,1.1,0.8,0.2,4.7,24,10,4,2
2018-02-08,202,06,2 of 2,"10956, 10947",Ladd,,Turonian,1.6,NA,0.1,1.1,0.5,0.5,3.8000000000000003,29,15,0,1
2018-02-09,202,07,1 of 3,8185,Ladd,,Turonian,1.9,NA,0.1,1.2,0.6,0.2,4,32,23,1,4
2018-02-09,202,07,2 of 3,"16879, 16878",Ladd,,Turonian,1.4,NA,0.1,0.9,1.4,0.1,3.9,33,13,6,1
2018-02-10,202,07,3 of 3,22952,Ladd,,Turonian,1.8,NA,0.3,0.9,0.9,0.1,4,17,13,0,0
2018-02-13,202,08,1 of 1,9909,Ladd,,Turonian,1.7,NA,0.1,1.6,0.8,0.1,4.3,12,5,0,3
2018-02-13,202,09,1 of 3,30122,Ladd,,Turonian,0.8,NA,0.1,0.8,0.6,0.1,2.4,43,17,18,2
2018-02-13,202,09,2 of 3,30123,Ladd,,Turonian,1.7,NA,0.1,0.8,0.5,0.1,3.2,61,29,19,3
2018-02-13,202,09,3 of 3,16858,Ladd,,Turonian,2.9,NA,0.1,1,0.3,0.1,4.4,24,6,21,0
2018-02-17,202,10,3 of 3,"28709, 3565, 3567",Ladd,,Turonian,2.1,NA,0.1,1,0.7,0.1,4,15,2,13,0
2018-02-16,202,10,1 of 3,31501,Ladd,,Turonian,6.4,NA,NA,0.9,0.3,NA,7.6000000000000005,7,1,6,0
2018-02-17,202,10,2 of 3,"23563, 23566",Ladd,,Turonian,3.3,NA,NA,0.8,0.8,NA,4.9,6,1,3,0
2018-02-02,202,11,1 of 4,23449,Ladd,,Turonian,1,0.1,0.1,0.7,0.3,0.6,2.8,35,27,32,0
2018-02-17,202,11,4 of 4,23449,Ladd,,Turonian,1,0.1,0.1,0.7,0.3,0.6,2.8,35,20,32,0
2018-02-17,202,11,2 of 4,23449,Ladd,,Turonian,3.3,NA,NA,0.9,0.3,0.1,4.6,7,3,5,0
2018-03-02,202,11,3 of 4,23449,Ladd,,Turonian,1,NA,0,0.7,0.3,0,2,32,3,32,0
2018-02-17,202,12,1 of 3,23449,Ladd,,"Turonian, Coniacian",1.8,NA,0.1,1,0.4,0.3,3.6,33,20,7,0
2018-03-02,202,12,2 of 3,23449,Ladd,,"Turonian, Coniacian",2.8,NA,0.6,0.6,0.6,0.4,5,32,9,32,0
2018-03-02,202,12,3 of 3,23449,Ladd,,"Turonian, Coniacian",1.7,NA,0.1,1,0.5,0.1,3.4,26,4,22,0
2018-02-21,203,01,1 of 1,"8167, 17543, 17544, 17545",Ladd,,"Turonian, Coniacian",1.7,NA,0.1,0.8,0.4,0.1,3.1,12,2,6,0
2018-05-04,203,02,1 of 3,20130,Redding,,Turonian,3,NA,NA,1.8,1,NA,5.8,1,0,0,0
2018-05-04,203,02,2 of 3,42423,Redding,,Turonian,0.8,NA,0.1,0.6,0.2,0.1,1.8,25,2,25,0
2018-05-04,203,02,3 of 3,42423,Redding,,Turonian,0.8,NA,NA,0.4,0.4,NA,1.6,12,0,12,0
2018-06-14,203,03,1 of 2,"10904, 10789",Redding,,Turonian,2.6,NA,1.2,1.2,0.4,NA,5.4,4,1,4,0
2018-06-14,203,04,1 of 2,25466,Redding,,Turonian,1.8,NA,0.5,1.5,NA,0.2,4,33,19,30,0
2018-06-14,203,04,2 of 2,26054,Redding,,Turonian,0.7,NA,NA,1.1,0.4,NA,2.2,27,0,27,0
2018-04-13,203,05,1 of 3,24653,Redding,,Turonian,2.9,NA,0.3,0.5,0.3,0.3,4.3,68,27,50,0
2018-04-13,203,05,2 of 3,24653,Redding,,Turonian,3.1,0.3,0.3,0.7,0.6,0.6,5.6,49,9,23,20
2018-04-17,203,05,3 of 3,24649,Redding,,Turonian,5.5,NA,0.2,2,0.5,0.1,8.3,22,15,8,10
2018-04-27,203,06,1 of 4,10778,Redding,,Turonian,3.3,NA,NA,1.3,NA,NA,4.6,18,2,17,1
2018-04-27,203,06,2 of 4,10778,Redding,,Turonian,1.2,NA,0.1,0.5,0.4,0.2,2.4,49,12,42,1
2018-05-02,203,06,3 of 4,10778,Redding,,Turonian,1.2,NA,0.1,0.8,0.6,0.1,2.8,60,9,54,2
2018-05-02,203,06,4 of 4,10778,Redding,,Turonian,6.2,1.2,0.1,0.8,1.2,0.1,9.6,12,9,9,0
2018-06-15,203,08,1 of 4,27230,Redding,,Turonian,1.4,NA,NA,0.7,0.2,NA,2.3,21,0,21,0
2018-06-15,203,08,2 of 4,27229,Redding,,Turonian,1.3,NA,NA,0.8,0.3,NA,2.4,23,0,23,0
2018-06-15,203,08,2 of 4,27229,Redding,,Turonian,2.7,NA,0.2,0.9,0.4,0.1,4.3,11,2,11,0
2018-06-15,203,08,3 of 4,27233,Redding,,Turonian,15,NA,0.3,11,3.4,0.6,30.3,3,1,33,0
2018-06-15,203,08,4 of 4,27231,Redding,,Turonian,2,NA,NA,0.7,0.3,NA,3,6,0,6,0
2018-06-15,203,09,1 of 2,12540,Redding,,Turonian,1.5,NA,NA,1.2,0.2,NA,2.9,10,0,10,0
2018-06-15,203,09,2 of 2,12540,Redding,,Turonian,0.9,NA,NA,0.9,0.3,NA,2.1,16,0,16,0
2018-06-15,203,10,1 of 2,26060,Redding,,Turonian,1.4,NA,0.2,1.2,1.2,NA,4,26,5,26,0
2018-06-15,203,10,2 of 2,26062,Redding,,Turonian,1.2,NA,NA,1.2,1.2,NA,3.5999999999999996,15,2,15,0
2018-06-16,203,11,1 of 1,26061,Redding,,Turonian,1.4,NA,0.2,2,0.2,NA,3.8,23,4,23,0
2018-06-16,203,12,1 of 2,26063,Redding,,Turonian,1.4,NA,NA,1.1,1.8,NA,4.3,17,1,16,0
2018-06-16,203,12,2 of 2,26063,Redding,,Turonian,0.9,NA,NA,0.5,0.3,NA,1.7,19,0,19,0
2018-04-19,204,02,1 of 3,"10774, 2329",Redding,,Turonian,1.3,NA,0.2,1.9,0.6,0.9,4.9,16,11,1,6
2018-04-19,204,02,2 of 3,10775,Redding,,Turonian,2.7,NA,0.1,0.9,0.4,0.4,4.5,22,11,7,3
2018-04-19,204,02,3 of 3,"10776, 10777",Redding,,Turonian,2.2,NA,0.2,2.2,0.6,0.4,5.6000000000000005,27,12,8,7
2018-04-20,204,03,1 of 3,"10771, 10908",Redding,,"Turonian, Santonian",1.9,NA,0.1,1,0.4,0.1,3.5,25,15,13,7
2018-04-20,204,03,2 of 3,"10771, 10908",Redding,,"Turonian, Santonian",1.9,NA,0.2,1,0.4,0.1,3.6,25,15,13,7
2018-04-20,204,03,3 of 3,10773,Redding,,"Turonian, Santonian",3.3,NA,0.7,1.3,1,1,7.3,23,21,9,9
2018-04-24,204,04,1 of 4,10769,Redding,,Turonian,1.6,NA,0.4,0.7,0.5,0.7,3.9,23,10,4,9
2018-04-24,204,04,2 of 4,10810,Redding,,Turonian,1.7,NA,0.6,0.7,0.6,0.7,4.3,35,28,10,13
2018-04-25,204,04,3 of 4,10772,Redding,,Turonian,1.7,NA,0.3,0.7,0.4,0.2,3.3,29,21,5,6
2018-04-25,204,04,4 of 4,"10768, 10769",Redding,,Turonian,1.2,NA,0.2,0.7,0.9,0.2,3.2,29,20,7,11
2018-04-26,204,05,1 of 4,10759,Redding,,Turonian,1.3,NA,0.9,1.3,0.3,0.4,4.2,35,24,10,13
2018-04-26,204,05,2 of 4,10764,Redding,,Turonian,1.5,NA,NA,NA,0.4,0.4,2.3,37,20,13,8
2018-04-26,204,05,3 of 4,10763,Redding,,Turonian,1.5,NA,0.7,0.7,0.3,0.2,3.4,31,24,5,15
2018-04-26,204,05,4 of 4,"10760, 10862",Redding,,Turonian,1.4,NA,0.6,0.6,0.2,0.2,3,24,10,7,12
2018-05-03,204,06,1 of 4,"10762, 10767",Redding,,Turonian,1.3,NA,0.4,1.3,3.1,0.4,6.5,27,17,9,8
2018-05-03,204,06,2 of 4,10761,Redding,,Turonian,1.9,NA,0.2,1.9,0.6,NA,4.6,8,3,4,3
2018-05-03,204,06,3 of 4,10761,Redding,,Turonian,1.5,NA,0.2,0.6,0.2,0.1,2.6,10,6,8,2
